# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Standard Edition
# File: C:\EXTDOC\WORK_SPACE-2ND\mix\MYSDR\fx2\qii\azuresdr.csv
# Generated on: Sat Mar 21 12:26:44 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
LED[7],Output,PIN_J1,2,B2_N0,PIN_J1,2.5 V,,,,,
LED[6],Output,PIN_L3,2,B2_N0,PIN_L3,2.5 V,,,,,
LED[5],Output,PIN_C2,1,B1_N0,PIN_C2,2.5 V,,,,,
LED[4],Output,PIN_D1,1,B1_N0,PIN_D1,2.5 V,,,,,
LED[3],Output,PIN_F2,1,B1_N0,PIN_F2,2.5 V,,,,,
LED[2],Output,PIN_F1,1,B1_N0,PIN_F1,2.5 V,,,,,
LED[1],Output,PIN_G2,1,B1_N0,PIN_G2,2.5 V,,,,,
LED[0],Output,PIN_G1,1,B1_N0,PIN_G1,2.5 V,,,,,
USB_FD[15],Bidir,PIN_F14,6,B6_N0,PIN_F14,2.5 V,,,,,
USB_FD[14],Bidir,PIN_F13,6,B6_N0,PIN_F13,2.5 V,,,,,
USB_FD[13],Bidir,PIN_E11,7,B7_N0,PIN_E11,2.5 V,,,,,
USB_FD[12],Bidir,PIN_D14,7,B7_N0,PIN_D14,2.5 V,,,,,
USB_FD[11],Bidir,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
USB_FD[10],Bidir,PIN_E10,7,B7_N0,PIN_E10,2.5 V,,,,,
USB_FD[9],Bidir,PIN_D11,7,B7_N0,PIN_D11,2.5 V,,,,,
USB_FD[8],Bidir,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
USB_FD[7],Bidir,PIN_E7,8,B8_N0,PIN_E7,2.5 V,,,,,
USB_FD[6],Bidir,PIN_C6,8,B8_N0,PIN_C6,2.5 V,,,,,
USB_FD[5],Bidir,PIN_D6,8,B8_N0,PIN_D6,2.5 V,,,,,
USB_FD[4],Bidir,PIN_D5,8,B8_N0,PIN_D5,2.5 V,,,,,
USB_FD[3],Bidir,PIN_E6,8,B8_N0,PIN_E6,2.5 V,,,,,
USB_FD[2],Bidir,PIN_C3,8,B8_N0,PIN_C3,2.5 V,,,,,
USB_FD[1],Bidir,PIN_D4,1,B1_N0,PIN_D4,2.5 V,,,,,
USB_FD[0],Bidir,PIN_D3,8,B8_N0,PIN_D3,2.5 V,,,,,
USB_FLAGA,Input,PIN_F8,8,B8_N0,PIN_F8,2.5 V,,,,,
USB_FLAGB,Input,PIN_D8,8,B8_N0,PIN_D8,2.5 V,,,,,
USB_IFCLK,Output,PIN_F3,1,B1_N0,PIN_F3,2.5 V,,,,,
USB_PKTADR0,Output,PIN_F9,7,B7_N0,PIN_F9,2.5 V,,,,,
USB_PKTADR1,Output,PIN_C9,7,B7_N0,PIN_C9,2.5 V,,,,,
USB_PKTEND,Output,PIN_D9,7,B7_N0,PIN_D9,2.5 V,,,,,
USB_SLCS,Output,,,,PIN_R8,,,,,,
USB_SLOE,Output,PIN_A9,7,B7_N0,PIN_A9,2.5 V,,,,,
USB_SLRD,Output,PIN_K6,2,B2_N0,PIN_K6,2.5 V,,,,,
USB_SLWR,Output,PIN_G5,1,B1_N0,PIN_G5,2.5 V,,,,,
clk_50M,Input,PIN_E1,1,B1_N0,PIN_E1,2.5 V,,,,,
clk_120m_180,Output,,,,PIN_B6,,,,,,
rst_n,Input,PIN_B3,8,B8_N0,PIN_B3,2.5 V,,,,,
E_DATA0,Unknown,PIN_H2,1,B1_N0,,2.5 V,,,,,
E_DCLK,Unknown,PIN_H1,1,B1_N0,,2.5 V,,,,,
E_SCE,Unknown,PIN_D2,1,B1_N0,,2.5 V,,,,,
E_SDO,Unknown,PIN_C1,1,B1_N0,,2.5 V,,,,,
KEY_1,Unknown,PIN_B1,1,B1_N0,,2.5 V,,,,,
KEY_2,Unknown,PIN_A2,8,B8_N0,,2.5 V,,,,,
KEY_3,Unknown,PIN_M1,2,B2_N0,,2.5 V,,,,,
PS2_CLK,Unknown,PIN_M10,4,B4_N0,,2.5 V,,,,,
PS2_DATA,Unknown,PIN_N9,4,B4_N0,,2.5 V,,,,,
SD_CLK,Unknown,PIN_M8,3,B3_N0,,2.5 V,,,,,
SD_CMD,Unknown,PIN_R1,2,B2_N0,,2.5 V,,,,,
SD_DATA0,Unknown,PIN_P2,2,B2_N0,,2.5 V,,,,,
SD_DATA3,Unknown,PIN_T2,3,B3_N0,,2.5 V,,,,,
S_ADDR[12],Unknown,PIN_G16,6,B6_N0,,2.5 V,,,,,
S_ADDR[11],Unknown,PIN_J16,5,B5_N0,,2.5 V,,,,,
S_ADDR[10],Unknown,PIN_C16,6,B6_N0,,2.5 V,,,,,
S_ADDR[9],Unknown,PIN_J15,5,B5_N0,,2.5 V,,,,,
S_ADDR[8],Unknown,PIN_K16,5,B5_N0,,2.5 V,,,,,
S_ADDR[7],Unknown,PIN_K15,5,B5_N0,,2.5 V,,,,,
S_ADDR[6],Unknown,PIN_L16,5,B5_N0,,2.5 V,,,,,
S_ADDR[5],Unknown,PIN_L15,5,B5_N0,,2.5 V,,,,,
S_ADDR[4],Unknown,PIN_N16,5,B5_N0,,2.5 V,,,,,
S_ADDR[3],Unknown,PIN_F16,6,B6_N0,,2.5 V,,,,,
S_ADDR[2],Unknown,PIN_F15,6,B6_N0,,2.5 V,,,,,
S_ADDR[1],Unknown,PIN_D16,6,B6_N0,,2.5 V,,,,,
S_ADDR[0],Unknown,PIN_D15,6,B6_N0,,2.5 V,,,,,
S_BA[1],Unknown,PIN_C15,6,B6_N0,,2.5 V,,,,,
S_BA[0],Unknown,PIN_B16,6,B6_N0,,2.5 V,,,,,
S_CAS_N,Unknown,PIN_A14,7,B7_N0,,2.5 V,,,,,
S_CKE,Unknown,PIN_N15,5,B5_N0,,2.5 V,,,,,
S_CLK,Unknown,PIN_R4,3,B3_N0,,2.5 V,,,,,
S_CS_N,Unknown,PIN_A15,7,B7_N0,,2.5 V,,,,,
S_DQ[15],Unknown,PIN_A3,8,B8_N0,,2.5 V,,,,,
S_DQ[14],Unknown,PIN_B4,8,B8_N0,,2.5 V,,,,,
S_DQ[13],Unknown,PIN_A4,8,B8_N0,,2.5 V,,,,,
S_DQ[12],Unknown,PIN_B5,8,B8_N0,,2.5 V,,,,,
S_DQ[11],Unknown,PIN_A5,8,B8_N0,,2.5 V,,,,,
S_DQ[10],Unknown,PIN_B6,8,B8_N0,,2.5 V,,,,,
S_DQ[9],Unknown,PIN_A6,8,B8_N0,,2.5 V,,,,,
S_DQ[8],Unknown,PIN_B7,8,B8_N0,,2.5 V,,,,,
S_DQ[7],Unknown,PIN_B13,7,B7_N0,,2.5 V,,,,,
S_DQ[6],Unknown,PIN_A12,7,B7_N0,,2.5 V,,,,,
S_DQ[5],Unknown,PIN_B12,7,B7_N0,,2.5 V,,,,,
S_DQ[4],Unknown,PIN_A11,7,B7_N0,,2.5 V,,,,,
S_DQ[3],Unknown,PIN_B11,7,B7_N0,,2.5 V,,,,,
S_DQ[2],Unknown,PIN_A10,7,B7_N0,,2.5 V,,,,,
S_DQ[1],Unknown,PIN_B10,7,B7_N0,,2.5 V,,,,,
S_DQ[0],Unknown,PIN_A7,8,B8_N0,,2.5 V,,,,,
S_DQM[1],Unknown,PIN_G15,6,B6_N0,,2.5 V,,,,,
S_DQM[0],Unknown,PIN_A13,7,B7_N0,,2.5 V,,,,,
S_RAS_N,Unknown,PIN_C14,7,B7_N0,,2.5 V,,,,,
S_WE_N,Unknown,PIN_B14,7,B7_N0,,2.5 V,,,,,
UART_RX,Unknown,PIN_F11,7,B7_N0,,2.5 V,,,,,
UART_TX,Unknown,PIN_G11,6,B6_N0,,2.5 V,,,,,
VGA_B[7],Unknown,PIN_M12,5,B5_N0,,2.5 V,,,,,
VGA_B[6],Unknown,PIN_K11,5,B5_N0,,2.5 V,,,,,
VGA_B[5],Unknown,PIN_P15,5,B5_N0,,2.5 V,,,,,
VGA_B[4],Unknown,PIN_P16,5,B5_N0,,2.5 V,,,,,
VGA_B[3],Unknown,PIN_K12,5,B5_N0,,2.5 V,,,,,
VGA_BLANK,Unknown,PIN_L14,5,B5_N0,,2.5 V,,,,,
VGA_CLK,Unknown,PIN_N14,5,B5_N0,,2.5 V,,,,,
VGA_G[7],Unknown,PIN_L13,5,B5_N0,,2.5 V,,,,,
VGA_G[6],Unknown,PIN_J14,5,B5_N0,,2.5 V,,,,,
VGA_G[5],Unknown,PIN_J13,5,B5_N0,,2.5 V,,,,,
VGA_G[4],Unknown,PIN_J12,5,B5_N0,,2.5 V,,,,,
VGA_G[3],Unknown,PIN_J11,5,B5_N0,,2.5 V,,,,,
VGA_G[2],Unknown,PIN_K10,4,B4_N0,,2.5 V,,,,,
VGA_HS,Unknown,PIN_N11,4,B4_N0,,2.5 V,,,,,
VGA_R[7],Unknown,PIN_N12,4,B4_N0,,2.5 V,,,,,
VGA_R[6],Unknown,PIN_N13,5,B5_N0,,2.5 V,,,,,
VGA_R[5],Unknown,PIN_R16,5,B5_N0,,2.5 V,,,,,
VGA_R[4],Unknown,PIN_P14,4,B4_N0,,2.5 V,,,,,
VGA_R[3],Unknown,PIN_M11,4,B4_N0,,2.5 V,,,,,
VGA_VS,Unknown,PIN_P11,4,B4_N0,,2.5 V,,,,,
WM_ADCDAT,Unknown,PIN_M9,4,B4_N0,,2.5 V,,,,,
WM_ADCLRC,Unknown,PIN_P9,4,B4_N0,,2.5 V,,,,,
WM_BCLK,Unknown,PIN_N8,3,B3_N0,,2.5 V,,,,,
WM_DACDAT,Unknown,PIN_L8,3,B3_N0,,2.5 V,,,,,
WM_DACLRC,Unknown,PIN_K9,4,B4_N0,,2.5 V,,,,,
WM_I2C_SCK,Unknown,PIN_T8,3,B3_N0,,2.5 V,,,,,
WM_I2C_SDA,Unknown,PIN_P8,3,B3_N0,,2.5 V,,,,,
BEEP,Unknown,PIN_L4,2,B2_N0,,,,,,,
SD_DATA1,Unknown,PIN_P1,2,B2_N0,,,,,,,
SD_DATA2,Unknown,PIN_R3,3,B3_N0,,,,,,,
F_SI,Unknown,PIN_T5,3,B3_N0,,,,,,,
F_CLK,Unknown,PIN_R6,3,B3_N0,,,,,,,
F_CS,Unknown,PIN_R9,4,B4_N0,,,,,,,
F_SO,Unknown,PIN_T9,4,B4_N0,,,,,,,
USB_FLAGC,Unknown,PIN_B9,7,B7_N0,,,,,,,
